Temperatur,Wetterbschreibung,Windstärke,Windrichtung,Messdatum
5,Bewölkt,10,west,26.02.2025/10:Feb
5,Bewölkt,10,west,26.02.2025/10:Feb
5,Bewölkt,10,west,26.02.2025/10:Feb
5,Bewölkt,10,west,26.02.2025/10:Feb
5,Bewölkt,10,west,26.02.2025/10:Feb
5,Bewölkt,10,west,26.02.2025/10:Feb
5,Bewölkt,10,west,26.02.2025/10:Feb
5,Bewölkt,10,west,26.02.2025/10:33
5,Bewölkt,10,west,26.02.2025/10:34
5,Bewölkt,10,west,26.02.2025/10:34
5,Bewölkt,10,west,26.02.2025/10:35
5,Bewölkt,10,west,
5,Bewölkt,10,west,
,,,,2025-02-12T02:04,
,,,,2025-02-12T02:04,
